Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
mi,4.4,20,32,HD,3,2,14999
mi,4.4,20,43,Ultra HD 4K,3,2,28999
samsung,4.4,20,32,HD,2,1,17499
lg,4.3,10,32,HD,2,1,16999
samsung,4.4,20,32,HD,2,1,16999
mi,4.4,20,40,Full HD,3,2,22999
mi,4.4,20,50,Ultra HD 4K,3,2,34999
iffalcon,4.3,24,50,Ultra HD 4K,3,1,28999
mi,4.4,20,32,HD,3,2,15999
mi,4.4,20,43,Full HD,3,3,24999
lg,4.4,20,43,Ultra HD 4K,3,2,35999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
vu,4.5,30,50,Ultra HD 4K,3,2,36999
mi,4.4,20,32,HD,3,2,15999
mi,4.4,20,43,Ultra HD 4K,3,2,27999
iffalcon,4.3,24,55,Ultra HD 4K,3,1,34999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.4,20,43,Full HD,2,1,31999
iffalcon,4.3,24,43,Ultra HD 4K,2,1,24999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
mi,4.4,20,32,HD,3,2,14999
mi,4.4,20,43,Ultra HD 4K,3,2,28999
lg,4.3,10,32,HD,2,1,16999
samsung,4.4,20,32,HD,2,1,16999
mi,4.4,20,40,Full HD,3,2,22999
mi,4.4,20,50,Ultra HD 4K,3,2,34999
iffalcon,4.3,24,50,Ultra HD 4K,3,1,28999
mi,4.4,20,32,HD,3,2,15999
mi,4.4,20,43,Full HD,3,3,24999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.4,20,43,Ultra HD 4K,3,2,35999
vu,4.5,30,50,Ultra HD 4K,3,2,36999
mi,4.4,20,32,HD,3,2,15999
mi,4.4,20,43,Ultra HD 4K,3,2,27999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
iffalcon,4.3,24,55,Ultra HD 4K,3,1,34999
samsung,4.4,20,43,Full HD,2,1,31999
iffalcon,4.3,24,43,Ultra HD 4K,2,1,24999
samsung,4.5,20,50,Ultra HD 4K,4,2,67999
iffalcon,4.4,30,43,Ultra HD 4K,2,1,26999
mi,4.4,20,55,Ultra HD 4K,3,2,40999
sony,4.5,20,43,Ultra HD 4K,3,3,39999
mi,4.4,30,55,Ultra HD 4K,3,2,56999
samsung,4.4,20,32,HD,2,1,17499
vu,4.5,30,55,Ultra HD 4K,3,2,41999
samsung,4.3,20,32,HD,2,1,17499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
lg,4.4,20,43,Full HD,2,1,31999
panasonic,4.2,20,50,Ultra HD 4K,3,2,34999
motorola,4.4,50,55,Ultra HD 4K,3,2,40999
samsung,4.4,20,43,Ultra HD 4K,3,1,36999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
iffalcon,4.3,20,40,Full HD,2,1,19499
lg,4.4,20,55,Ultra HD 4K,3,2,50999
motorola,4.4,24,43,Ultra HD 4K,3,2,29999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
panasonic,4.3,16,40,Full HD,2,2,24999
vu,4.3,24,43,Full HD,2,2,24999
thomson,4.2,20,24,HD,2,2,8999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
thomson,4.4,24,32,HD,3,2,13799
thomson,4.5,30,42,Full HD,3,2,20499
philips,4.2,20,43,Full HD,2,2,22999
samsung,4.3,20,43,Ultra HD 4K,2,1,34999
thomson,4.2,20,32,HD,2,2,11999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.5,20,32,HD,2,2,24499
hisense,4.4,30,50,Ultra HD 4K,3,2,33999
kodak,4.1,20,24,HD,2,2,8999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
iffalcon,4.3,16,32,HD,2,1,13999
iffalcon,4.4,30,55,Ultra HD 4K,3,2,36999
mi,4.4,20,55,Ultra HD 4K,3,2,39999
samsung,4.4,20,32,HD,2,1,16999
thomson,4.5,30,55,Ultra HD 4K,3,2,36999
iffalcon,4.2,20,43,Full HD,2,1,22999
motorola,4.3,20,32,HD,2,2,16499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
kodak,4.4,24,32,HD,3,2,13499
sony,4.9,20,50,Ultra HD 4K,3,2,62999
samsung,4.3,20,32,HD,2,1,15499
sony,4.8,20,43,Full HD,2,2,37999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
motorola,4.3,30,65,Ultra HD 4K,3,2,56999
motorola,4.4,24,43,Ultra HD 4K,3,2,30999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
thomson,4.5,30,43,Ultra HD 4K,3,2,28499
vu,4.3,20,32,HD,2,2,14999
sony,4.6,20,55,Ultra HD 4K,3,2,72999
motorola,4.3,30,55,Ultra HD 4K,3,2,37999
kodak,4.5,30,55,Ultra HD 4K,3,2,36999
samsung,4.4,20,32,HD,2,1,16999
lg,4.3,20,32,HD,3,2,17999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
hisense,4.4,24,43,Ultra HD 4K,3,2,29999
thomson,4.5,30,50,Ultra HD 4K,3,2,33499
lg,4.8,20,49,Ultra HD 4K,4,2,64999
samsung,4.4,20,32,HD,2,1,17499
hisense,4.4,30,55,Ultra HD 4K,3,2,40499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.4,20,32,HD,2,1,17999
thomson,4.5,40,43,Full HD,3,2,22499
sony,4.3,20,24,HD,2,1,11999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
iffalcon,4.4,30,55,Ultra HD 4K,2,1,49999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
thomson,4.4,24,32,HD,3,2,13999
lg,4.4,20,65,Ultra HD 4K,3,2,80999
kodak,4.5,30,50,Ultra HD 4K,3,2,32999
micromax,4.1,20,32,HD,3,2,14499
samsung,4.4,20,32,HD,2,1,16999
tcl,4.0,30,55,Ultra HD 4K,3,2,42999
micromax,4.3,20,43,Ultra HD 4K,3,2,25499
samsung,4.4,20,32,HD,2,1,17499
lg,4.6,40,55,Ultra HD 4K,3,2,134999
kodak,4.4,24,43,Ultra HD 4K,3,2,23999
philips,4.2,20,50,Ultra HD 4K,3,2,36999
lg,4.4,20,43,Ultra HD 4K,3,2,39999
tcl,4.3,10,32,HD,2,2,16659
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
iffalcon,4.2,16,32,HD,2,1,11999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
motorola,4.3,20,43,Full HD,2,2,25999
tcl,4.0,30,50,Ultra HD 4K,3,2,38999
vu,4.3,24,43,Ultra HD 4K,3,2,34999
vu,4.5,30,65,Ultra HD 4K,3,2,59999
samsung,4.4,20,32,HD,2,1,16999
samsung,4.5,20,65,Ultra HD 4K,3,2,87999
motorola,4.4,50,55,Ultra HD 4K,3,2,44999
haier,4.4,20,40,Full HD,3,2,25990
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
sony,4.3,20,32,HD,2,2,25499
samsung,4.2,20,43,Ultra HD 4K,3,2,43190
kodak,4.4,24,55,Ultra HD 4K,3,2,33999
samsung,4.4,20,32,HD,2,1,17499
lg,4.3,20,32,HD,2,1,17390
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
motorola,4.3,30,50,Ultra HD 4K,3,2,32999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
hisense,4.2,24,40,Full HD,2,2,19499
thomson,4.5,30,65,Ultra HD 4K,3,2,54999
sony,4.1,10,49,Full HD,4,3,52999
lg,4.4,20,43,Full HD,2,1,32500
hisense,4.2,20,32,HD,2,2,14999
samsung,4.4,20,32,HD,2,1,16999
sansui,4.3,20,50,Ultra HD 4K,3,2,36999
sony,4.5,10,50,Full HD,2,2,42999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
samsung,4.4,20,43,Full HD,2,1,37499
kodak,4.5,30,65,Ultra HD 4K,3,2,54999
tcl,4.4,30,55,Ultra HD 4K,3,2,56999
tcl,4.2,24,55,Ultra HD 4K,3,1,40990
sony,4.4,10,32,HD,2,1,17999
samsung,4.4,20,32,HD,2,1,17499
micromax,4.1,30,55,Ultra HD 4K,3,2,33999
samsung,4.5,40,49,Full HD,2,1,37999
samsung,4.6,20,32,HD,2,1,19835
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.3,20,32,HD,2,1,16599
panasonic,4.1,20,43,Full HD,3,2,50666
panasonic,4.4,20,43,Ultra HD 4K,3,2,35999
lg,4.3,20,43,Full HD,2,1,25999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
haier,4.3,20,43,Full HD,3,2,28890
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
lg,4.5,20,49,Ultra HD 4K,3,2,45136
haier,4.3,20,50,Ultra HD 4K,4,2,43999
samsung,4.3,10,32,HD,2,1,14999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
samsung,4.4,40,43,Full HD,2,1,32999
samsung,4.4,20,32,HD,2,1,17499
vu,4.2,24,43,Full HD,2,2,25490
lg,4.2,20,43,Full HD,3,2,34999
samsung,3.9,20,43,Full HD,3,1,31990
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
lg,4.4,35,32,HD,3,1,23800
samsung,4.3,20,50,Ultra HD 4K,2,1,63900
iffalcon,4.4,20,65,Ultra HD 4K,3,2,57999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
tcl,4.3,20,43,Full HD,2,1,25890
sony,4.4,20,65,Ultra HD 4K,4,2,107999
onida,4.1,16,43,Full HD,3,2,28999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
sony,4.7,10,40,Full HD,2,2,35299
samsung,4.4,20,32,HD,2,1,16999
sony,4.5,20,49,Ultra HD 4K,4,2,75490
samsung,4.4,20,32,HD,2,1,17499
samsung,3.9,20,50,Ultra HD 4K,3,2,74990
samsung,4.0,40,32,HD,2,1,26900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.4,8,32,Full HD,2,2,28606
philips,5.0,20,65,Ultra HD 4K,2,1,78999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
sony,4.8,10,55,Ultra HD 4K,4,3,99990
samsung,4.5,40,43,Full HD,2,1,38990
motorola,4.3,20,43,Ultra HD 4K,3,2,29999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.3,10,32,HD,2,1,22499
micromax,4.4,16,49,Full HD,3,2,65990
panasonic,4.3,20,32,HD,2,2,16999
lg,4.5,20,32,HD,3,2,22990
samsung,4.4,20,32,HD,2,1,16999
vu,4.4,30,55,Ultra HD 4K,3,2,48390
samsung,4.8,20,55,Ultra HD 4K,3,2,89990
samsung,4.4,20,32,HD,2,1,17499
lg,4.6,40,55,Ultra HD 4K,4,3,79999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.5,20,50,Full HD,2,2,55799
iffalcon,4.3,16,55,Ultra HD 4K,4,2,36999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.3,40,43,Full HD,2,1,39999
samsung,4.6,40,55,Ultra HD 4K,4,3,84999
sony,4.5,20,49,Ultra HD 4K,3,3,60999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.4,20,32,HD,2,1,16999
sony,4.6,20,49,Ultra HD 4K,3,2,64990
samsung,4.4,20,32,HD,2,1,17499
samsung,4.6,20,49,Ultra HD 4K,3,2,64499
sansui,4.3,20,55,Ultra HD 4K,3,2,42999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sansui,4.3,20,55,Ultra HD 4K,3,3,119990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
cloudwalker,4.1,16,50,Full HD,2,2,42989
micromax,4.3,24,32,HD,2,2,19105
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
tcl,4.4,30,65,Ultra HD 4K,3,2,88499
lg,4.7,20,65,Ultra HD 4K,3,2,96999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.6,20,65,Ultra HD 4K,2,1,85999
lg,4.4,20,49,Full HD,2,1,68990
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sansui,3.7,20,55,Ultra HD 4K,3,2,69200
micromax,4.3,20,32,HD,1,2,12399
panasonic,4.4,20,49,Ultra HD 4K,3,2,46999
samsung,3.9,20,50,Ultra HD 4K,3,2,64990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
mi,4.4,20,65,Ultra HD 4K,3,3,71999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
panasonic,4.3,16,32,Full HD,3,2,22541
samsung,4.5,40,55,Ultra HD 4K,4,2,105999
samsung,4.4,20,32,HD,2,1,16999
kodak,4.4,24,50,Ultra HD 4K,3,2,31999
samsung,4.1,10,32,HD,2,1,26999
samsung,4.4,20,32,HD,2,1,17499
micromax,4.3,20,50,Full HD,2,2,66990
vu,4.4,40,43,Ultra HD 4K,3,2,32999
samsung,4.4,40,49,Ultra HD 4K,4,2,129900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.7,20,49,Full HD,3,2,86900
panasonic,4.4,35,49,Full HD,2,1,51999
sony,4.7,60,65,Ultra HD 4K,4,3,149999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.3,20,55,Ultra HD 4K,2,1,64999
panasonic,4.3,35,43,Full HD,2,1,50900
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
iffalcon,4.4,16,65,Ultra HD 4K,4,2,59999
lg,4.3,20,43,Full HD,1,1,35999
samsung,4.4,20,32,HD,2,1,16999
panasonic,4.0,10,43,Full HD,2,1,48900
cloudwalker,4.0,8,43,Full HD,2,2,21999
blaupunkt,4.0,30,49,Ultra HD 4K,2,2,25999
sony,3.7,20,55,Ultra HD 4K,4,3,109999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.7,20,49,Ultra HD 4K,4,2,93999
panasonic,4.4,10,32,HD,1,1,27399
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
panasonic,4.5,35,43,Full HD,3,2,53999
samsung,3.9,20,43,Ultra HD 4K,3,2,61990
tcl,3.9,16,55,Ultra HD 4K,3,2,47499
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,3.9,20,43,Full HD,2,2,62900
samsung,4.5,20,55,Ultra HD 4K,3,2,104900
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
haier,4.0,20,32,HD,3,2,18990
thomson,4.4,24,40,Full HD,3,2,19499
sony,3.8,40,55,Ultra HD 4K,4,3,144990
samsung,4.4,20,32,HD,2,1,16999
lg,4.1,20,55,Full HD,3,2,103900
cloudwalker,4.1,16,55,Ultra HD 4K,3,2,36999
samsung,4.4,20,32,HD,2,1,17499
micromax,4.0,16,50,Full HD,2,2,64990
philips,3.8,16,42,Full HD,2,1,42000
sony,4.4,20,43,Full HD,2,2,41799
samsung,4.3,20,32,HD,2,1,19599
tcl,4.3,16,55,Ultra HD 4K,3,2,55499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.5,20,55,Ultra HD 4K,2,1,60990
sony,4.3,20,55,Ultra HD 4K,4,2,84990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.8,20,55,Ultra HD 4K,3,2,89990
lg,4.3,20,49,Ultra HD 4K,4,2,78499
samsung,4.4,40,32,HD,2,1,18256
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.1,20,43,Ultra HD 4K,3,2,49990
samsung,4.4,20,32,HD,2,1,16999
samsung,3.7,40,49,Ultra HD 4K,4,3,80999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.6,40,32,HD,2,1,23900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.4,20,55,Ultra HD 4K,4,3,107999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
cloudwalker,4.3,20,32,HD,3,2,11999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
cloudwalker,3.9,10,43,Ultra HD 4K,3,2,24999
lg,4.3,20,43,Ultra HD 4K,2,1,79990
lg,4.8,20,55,Ultra HD 4K,4,3,99999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
kodak,4.3,20,32,HD,2,2,11499
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.4,20,32,HD,2,1,22999
samsung,4.3,20,55,Ultra HD 4K,4,2,121999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
lg,4.8,20,49,Full HD,3,2,77990
sansui,4.3,20,43,Ultra HD 4K,3,2,28999
samsung,4.4,20,32,HD,2,1,16999
cloudwalker,3.7,8,55,Ultra HD 4K,3,2,84500
samsung,4.4,20,32,HD,2,1,17499
tcl,4.0,16,65,Ultra HD 4K,3,2,79999
